name,general,specify,enrollment,language,rating,level,duration,instructor,instructor_rate,offered by
Confronting The Big Questions: Highlights of Modern Astronomy,Physical Science and Engineering,Physics and Astronomy,22775,English,4.6,Beginner,10,Adam Frank,4.7,University of Rochester
AstroTech: The Science and Technology behind Astronomical Discovery,Physical Science and Engineering,Physics and Astronomy,18736,English,4.7,Beginner,6,"Andy Lawrence, Catherine Heymans",4.9,The University of Edinburgh
Asymmetric Cryptography and Key Management,Computer Science,Computer Security and Networks,11509,English,4.6,Intermediate,8,Sang-Yoon Chang,4.6,University of Colorado System
Atraer clientes e interactuar con ellos/as mediante el marketing digital,Business,Marketing,5273,Spanish,4.9,Beginner,21,Google Career Certificates,5.0,Google
Atrair e engajar clientes com marketing digital,Business,Marketing,13926,Portuguese (Brazilian),5.0,Beginner,21,Google Career Certificates,4.7,Google
Attention Mechanism,Information Technology,Cloud Computing,13926,English,3.9,Advanced,1,Google Cloud Training,4.8,Google Cloud
Natural Language Processing with Attention Models,Data Science,Machine Learning,65449,English,4.4,Intermediate,35,"Łukasz Kaiser, Younes Bensouda Mourri, Eddy Shyu",4.3,DeepLearning.AI
Attract and Engage Customers with Digital Marketing,Business,Marketing,200833,English,4.8,Beginner,21,Google Career Certificates,4.8,Google
Залучення клієнтів за допомогою цифрового маркетингу,Business,Marketing,5098,Ukrainian,4.9,Beginner,21,Google Career Certificates,5.0,Google
Attracting and Sourcing Diverse Candidates,Business,Leadership and Management,13926,English,4.8,Beginner,7,Dr. Jacquie Hutchinson,4.6,University of Western Australia
Audio digital con Pure Data,Arts and Humanities,Music and Art,2175,Spanish,4.8,Intermediate,5,"Hernani Villaseñor Ramírez, Jorge David García",4.8,Universidad Nacional Autónoma de México
Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics,Physical Science and Engineering,Electrical Engineering,79062,English,4.6,Intermediate,14,"Robert  Clark, Mark  Bocko",4.5,University of Rochester
Audio Signal Processing for Music Applications,Computer Science,Software Development,54653,English,4.8,Intermediate,52,"Prof Julius O Smith, III, Universitat Pompeu Fabra of Barcelona, Xavier Serra",4.9,Stanford University
Auditing I: Conceptual Foundations of Auditing,Business,Business Essentials,45709,English,4.7,Intermediate,28,"Mark E. Peecher, PhD, CPA",4.7,University of Illinois at Urbana-Champaign
Auditing II: The Practice of Auditing,Business,Business Essentials,18104,English,4.8,Intermediate,24,"Mark E. Peecher, PhD, CPA",4.8,University of Illinois at Urbana-Champaign
Getting started with Augmented Reality,Computer Science,Mobile and Web Development,18166,English,4.3,Intermediate,24,"Veronica Scurtu, Marius Preda, Traian Lavric",4.7,Institut Mines-Télécom
Hacia una práctica constructivista en el aula,Social Sciences,Education,87145,Spanish,4.9,Other,12,Miguel Nussbaum Voehl,4.9,Pontificia Universidad Católica de Chile
Understanding the Australian economy: An introduction to macroeconomic and financial policies,Social Sciences,Economics,4610,English,4.5,Other,14,Denny Lie,4.6,The University of Sydney
Evaluación auténtica,Social Sciences,Education,13926,Spanish,5.0,Beginner,7,"Guadalupe Vadillo, Jackeline Bucio ",4.7,Universidad Nacional Autónoma de México
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Physical Science and Engineering,Mechanical Engineering,152282,English,4.7,Advanced,18,Autodesk,4.5,Autodesk
Autodesk Certified Professional: Civil 3D for Infrastructure Design Exam Prep,Physical Science and Engineering,Mechanical Engineering,39088,English,4.7,Advanced,22,Autodesk,4.7,Autodesk
Autodesk Certified Professional: Inventor for Mechanical Design Exam Prep,Physical Science and Engineering,Mechanical Engineering,12542,English,4.7,Advanced,15,Autodesk,4.8,Autodesk
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Physical Science and Engineering,Mechanical Engineering,69672,English,4.7,Advanced,18,Autodesk,4.6,Autodesk
Autodesk Certified Professional: Revit for Structural Design Exam Prep,Physical Science and Engineering,Mechanical Engineering,42965,English,4.7,Advanced,23,Autodesk,4.7,Autodesk
Autoliderazgo y gestión de emociones para avanzar en desafíos complejos,Personal Development,Personal Development,37069,Spanish,4.9,Intermediate,15,"Héctor F. Hernández V., Maite Careaga Tagüeña",4.9,Universidad de los Andes
System Validation: Automata and behavioural equivalences,Computer Science,Design and Product,10696,English,4.4,Intermediate,8,Jan Friso Groote,4.4,EIT Digital 
Automate Cybersecurity Tasks with Python,Computer Science,Computer Security and Networks,66328,English,4.8,Beginner,30,Google Career Certificates,4.8,Google
Introduction to Automated Analysis,Computer Science,Software Development,12383,English,4.2,Intermediate,19,"Mike, Kevin Wendt",4.2,University of Minnesota
Automated Reasoning: satisfiability,Computer Science,Algorithms,4351,English,4.8,Intermediate,25,Hans Zantema,4.6,EIT Digital 
Automated Reasoning: Symbolic Model Checking,Computer Science,Software Development,2244,English,4.7,Intermediate,13,Hans Zantema,5.0,EIT Digital 
Automating Real-World Tasks with Python,Information Technology,Cloud Computing,71160,English,4.8,Beginner,21,Google Career Certificates,4.8,Google
Getting Started with Automation 360,Information Technology,Cloud Computing,3238,English,4.5,Intermediate,5,"Automation Anywhere, Inc.",4.4,Automation Anywhere
Automation Business Analysis - Concepts and Principles,Business,Business Strategy,8091,English,4.8,Beginner,14,UiPath,4.8,UiPath
Automation Techniques in RPA,Computer Science,Software Development,2839,English,4.6,Beginner,9,UiPath,4.4,UiPath
Analyze Datasets and Train ML Models using AutoML,Data Science,Machine Learning,29296,English,4.5,Advanced,14,"Shelbee Eigenbrode, DeepLearning.AI, Chris Fregly, Antje Barth, Sireesha Muppala",4.5,Amazon Web Services
Capstone:  Autonomous Runway Detection for IoT,Computer Science,Software Development,5453,English,4.6,Advanced,30,"Juha Plosila, Farhoud Hosseinpour",4.7,EIT Digital 
"Autoridad, dirección y liderazgo",Business,Leadership and Management,64047,Spanish,4.8,Beginner,8,"Miguel Angel Ruíz , Patricia Benítez Corona ",4.8,Universidad Nacional Autónoma de México
Avatar Psychology for Designers,Computer Science,Software Development,6336,English,3.8,Beginner,10,Rabindra Ratan,4.0,Michigan State University
Averaged-Switch Modeling and Simulation,Physical Science and Engineering,Electrical Engineering,7299,English,4.7,Intermediate,16,Dr. Dragan Maksimovic,4.9,University of Colorado Boulder
Building Modern .NET Applications on AWS,Information Technology,Cloud Computing,4465,English,4.7,Intermediate,16,"Russell Sayers, Morgan Willis, Seph Robinson",4.7,Amazon Web Services
Exam Prep: AWS Certified Solutions Architect - Associate,Information Technology,Cloud Computing,21917,English,4.8,Intermediate,7,Julie Elkins,4.7,Amazon Web Services
Introduction to AWS Cloud Careers,Information Technology,Cloud Computing,2306,English,4.7,Beginner,4,"Rafael Lopes, Oksana Hoeckele, Alex G.",4.5,Amazon Web Services
AWS Cloud Practitioner Essentials,Information Technology,Cloud Computing,114466,English,4.8,Beginner,18,"Rudy Chetty, Morgan Willis, Blaine Sundrud",4.8,Amazon Web Services
AWS Cloud Technical Essentials,Information Technology,Cloud Computing,227390,English,4.8,Beginner,25,"Morgan Willis, Seph Robinson",4.8,Amazon Web Services
AWS Fundamentals: Addressing Security Risk,Information Technology,Cloud Computing,69752,English,4.4,Beginner,5,"Rudy Chetty, Hong Pham",4.3,Amazon Web Services
AWS Fundamentals: Building Serverless Applications,Information Technology,Cloud Computing,98954,English,4.7,Beginner,10,"Rick Hurst, Wes Gruver",4.8,Amazon Web Services
Migrating to the AWS Cloud,Information Technology,Cloud Computing,12789,English,4.5,Intermediate,6,"Alex G., Seph Robinson",4.9,Amazon Web Services
AWS Services Overview for IT Professionals,Information Technology,Cloud Computing,13926,English,4.9,Beginner,4,"Rafael Lopes, Oksana Hoeckele, Alex G.",4.7,Amazon Web Services
Prepare for AZ-204: Developing Solutions for Microsoft Azure,Computer Science,Software Development,3141,English,4.6,Intermediate,7, Microsoft,4.7,Microsoft
Preparing for the AZ-900 Microsoft Azure Fundamentals Exam,Information Technology,Cloud Computing,26722,English,4.7,Beginner,6, Microsoft,4.6,Microsoft
Data Integration with Microsoft Azure Data Factory,Data Science,Data Analysis,12093,English,3.9,Intermediate,16, Microsoft,4.7,Microsoft
Azure Data Lake Storage Gen2 and Data Streaming Solution,Data Science,Data Analysis,4551,English,4.2,Intermediate,9, Microsoft,4.7,Microsoft
Azure Infrastructure Fundamentals,Computer Science,Computer Security and Networks,16132,English,3.7,Advanced,30,Michael Krout,4.0,LearnQuest
International B2B (Business to Business) Marketing,Business,Marketing,26355,English,4.6,Other,9,Dae Ryun Chang,4.7,Yonsei University
Back-End Developer Capstone ,Computer Science,Mobile and Web Development,14025,English,4.6,Intermediate,20,Taught by Meta Staff,4.6,Meta
Back-end Application Development Capstone Project,Information Technology,Cloud Computing,2597,English,5.0,Advanced,18,IBM Skills Network Team,4.8,IBM
Backend Development using ASP.Net,Computer Science,Mobile and Web Development,1539,English,3.6,Intermediate,17,Board Infinity,2.3,Board Infinity 
Bacteria and Chronic Infections,Health,Patient Care,74900,English,4.7,Other,9,Thomas Bjarnsholt,4.6,University of Copenhagen
Bagian Akhir: Menerapkan Manajemen Proyek di Dunia Nyata,Business,Leadership and Management,13926,Indonesian,5.0,Beginner,32,Google Career Certificates,4.6,Google
 التوازن بين القدرات والتوقعات في بناء الذات,Personal Development,Personal Development,13926,Arabic,5.0,Beginner,1,Alfaisal.KLD,4.7,Alfaisal University | KLD
Banking and Financial Institutions,Business,Finance,15790,English,4.8,Intermediate,15,Rustom Manouchehri Irani,4.8,University of Illinois at Urbana-Champaign
Bases de la conception Expérience Utilisateur (UX),Computer Science,Design and Product,4736,French,4.7,Beginner,21,Google Career Certificates,4.8,Google
Bases de la gestion de projet,Business,Leadership and Management,8224,French,4.6,Beginner,15,Google Career Certificates,4.6,Google
Bases de la gestion de projet,Business,Leadership and Management,13926,French,4.7,Beginner,15,Google Career Certificates,5.0,Google
"Bases : Des données, des données, partout",Data Science,Data Analysis,6789,French,4.6,Beginner,19,Google Career Certificates,4.8,Google
Introduction to Chemistry:  Structures and Solutions,Physical Science and Engineering,Chemistry,57776,English,4.7,Beginner,16,Prof. Dorian A. Canelas,4.7,Duke University
Basic Cryptography and Programming with Crypto API,Computer Science,Computer Security and Networks,13127,English,4.5,Intermediate,16,Edward Chow,4.7,University of Colorado System
Basic Data Processing and Visualization,Data Science,Data Analysis,20120,English,4.3,Intermediate,10,"Ilkay Altintas, Julian McAuley",4.5,University of California San Diego
Basic Elements of Design: Design Principles and Software Overview,Arts and Humanities,History,52330,English,4.7,Beginner,10,Lori Poole,4.7,University of Colorado Boulder
Basic Information Literacy,Social Sciences,Education,3928,English,4.7,Beginner,13,"Roberta (Robin) Sullivan, Bryan Sajecki, Nicole Thomas, Cynthia A. Tysick, Jocelyn Swick-Jemison",4.5,The State University of New York
Basic Modeling for Discrete Optimization,Computer Science,Software Development,26064,English,4.8,Intermediate,27,"Prof. Jimmy Ho Man Lee, The University of Melbourne, Prof. Peter James Stuckey",4.8,The Chinese University of Hong Kong
Basic Principles of Cell Signaling,Health,Basic Science,4625,English,4.8,Beginner,8,Seyun Kim,4.8,Korea Advanced Institute of Science and Technology(KAIST)
Basic Recommender Systems,Data Science,Data Analysis,2919,English,4.3,Intermediate,11,"EIT Digital , Paolo Cremonesi",4.2,Politecnico di Milano
Basic Statistics,Data Science,Probability and Statistics,279337,English,4.6,Beginner,26,"Emiel van Loon, Matthijs Rooduijn",4.7,University of Amsterdam
Basics of Cost Accounting: Product Costing,Business,Finance,7949,English,4.7,Beginner,10,"Marcus Witter, Peter Schaefer, Eline Schoonjans, Gunther Friedl",4.5,Technische Universität München (TUM)
Basics of Electrical Protection System,Physical Science and Engineering,Electrical Engineering,2755,English,4.3,Beginner,12,Subject Matter Expert,4.5,L&T EduTech
Flight mechanics - The basis,Physical Science and Engineering,Physics and Astronomy,13797,English,4.7,Beginner,7,Eric Poquillon,4.6,ISAE-SUPAERO
Building Batch Data Pipelines on Google Cloud,Information Technology,Cloud Computing,43459,English,4.5,Intermediate,17,Google Cloud Training,4.6,Google Cloud
Building Batch Data Pipelines on GCP em Português Brasileiro,Information Technology,Cloud Computing,13926,Portuguese (Brazilian),4.7,Intermediate,16,Google Cloud Training,5.0,Google Cloud
Building Batch Data Pipelines on GCP en Español,Information Technology,Cloud Computing,13926,Spanish,4.7,Intermediate,17,Google Cloud Training,4.8,Google Cloud
Building Batch Data Pipelines on GCP 日本語版,Information Technology,Cloud Computing,13926,Japanese,4.4,Intermediate,17,Google Cloud Training,4.7,Google Cloud
Batteries and Electric Vehicles,Physical Science and Engineering,Electrical Engineering,1721,English,4.4,Beginner,8,Arunachala Nadar Mada Kannan,4.8,Arizona State University
Introduction to battery-management systems,Physical Science and Engineering,Electrical Engineering,57454,English,4.8,Intermediate,24,"University of Colorado Boulder, Gregory Plett",4.8,University of Colorado System
Battery Pack Balancing and Power Estimation,Physical Science and Engineering,Electrical Engineering,10289,English,4.9,Intermediate,22,"University of Colorado Boulder, Gregory Plett",4.9,University of Colorado System
Battery State-of-Charge (SOC) Estimation,Physical Science and Engineering,Electrical Engineering,17653,English,4.8,Intermediate,27,"University of Colorado Boulder, Gregory Plett",4.8,University of Colorado System
Battery State-of-Health (SOH) Estimation,Physical Science and Engineering,Electrical Engineering,13473,English,4.7,Intermediate,22,"University of Colorado Boulder, Gregory Plett",4.5,University of Colorado System
Bayesian Statistics,Data Science,Data Analysis,73546,English,3.8,Intermediate,34,"Colin Rundel , David Banks, Mine Çetinkaya-Rundel, Merlise A Clyde",3.7,Duke University
Bayesian Statistics: From Concept to Data Analysis,Data Science,Probability and Statistics,144370,English,4.6,Intermediate,11,Herbert Lee,4.6,"University of California, Santa Cruz"
Bayesian Statistics: Time Series Analysis,Data Science,Probability and Statistics,3584,English,4.4,Intermediate,22,Raquel Prado,4.4,"University of California, Santa Cruz"
Digital Transformation,Business,Leadership and Management,161672,English,4.8,Beginner,14,"University of Virginia, Amane Dannouni, Michael Lenox, Sonja Rueger, Ching Fong Ong",4.7,BCG
التحوّل الرقمي,Business,Leadership and Management,8159,Arabic,4.6,Beginner,14,"Amane Dannouni, Michael Lenox, BCG, Sonja Rueger, Ching Fong Ong",4.5,University of Virginia
Transformación digital,Business,Leadership and Management,7683,Spanish,4.7,Beginner,14,"Amane Dannouni, Michael Lenox, BCG, Sonja Rueger, Ching Fong Ong",4.8,University of Virginia
Transformação digital,Business,Leadership and Management,13926,Portuguese (Brazilian),4.6,Beginner,14,"Amane Dannouni, Michael Lenox, BCG, Sonja Rueger, Ching Fong Ong",4.3,University of Virginia
Big Data Science with the BD2K-LINCS Data Coordination and Integration Center,Health,Basic Science,5850,English,4.8,Intermediate,9,"Avi Ma’ayan, PhD",4.8,Icahn School of Medicine at Mount Sinai
"Be a Leader, Develop a Leader",Business,Leadership and Management,5698,English,4.7,Other,5,"Richard Boyatzis, Ronald Fry, Diana Bilimoria, PhD, Melvin Smith, Ellen  VanOosten, PhD",4.9,Case Western Reserve University
Be Your Best Creative Self,Business,Business Essentials,16249,English,4.6,Beginner,20,David Underwood,4.7,University of Colorado Boulder
Mechanics of Materials III: Beam Bending,Physical Science and Engineering,Mechanical Engineering,36265,English,4.8,Intermediate,13,"Dr. Wayne Whiteman, PE",4.8,Georgia Institute of Technology
Capstone: Create your own professional journalistic portfolio,Arts and Humanities,Music and Art,3529,English,4.7,Other,15,"David Poulson, Eric Freedman, Lucinda D. Davenport, Jeremy Steele, Joanne C. Gerstner, Joe Grimm",4.7,Michigan State University
EDIVET: Do you have what it takes to be a veterinarian?,Health,Animal Health,69294,English,4.8,Other,9,"Dr Gurå Therese Bergkvist, Dr Jessie Paterson, Kay Aitchison, Rachel Whittington, Dr Andrew Gardiner, Dr Catriona Bell, Prof Susan Rhind",4.8,The University of Edinburgh
Becoming an SAP Professional,Business,Leadership and Management,7567,English,4.8,Beginner,8,Martin Gollogly,4.5,SAP
Exploring Beethoven’s Piano Sonatas,Arts and Humanities,Music and Art,78613,English,4.8,Other,18,Jonathan Biss,5.0,Curtis Institute of Music
Beginning Custom Projects with Raspberry Pi,Physical Science and Engineering,Electrical Engineering,3055,English,4.7,Other,14,Drew Wilson,4.8,Johns Hopkins University
Creating Behavioral Change,Health,Psychology,8785,English,4.8,Beginner,10,Alexis May,4.8,Wesleyan University
Introduction to Human Behavioral Genetics,Health,Psychology,33457,English,4.8,Other,26,Matt McGue,4.9,University of Minnesota
Foundations of Public Health Practice: Behaviour & Behaviour Change,Health,Public Health,7833,English,4.8,Beginner,16,Dr Richard J Pinder,4.9,Imperial College London
悖论：思维的魔方,Arts and Humanities,Philosophy,6939,Chinese (Simplified),4.8,Beginner,44,陈波,4.7,Peking University
Foundations of Teaching for Learning: Being a Teacher,Social Sciences,Education,65884,English,4.6,Other,11,"Professor Dennis Francis, Professor John MacBeath",4.6,Commonwealth Education Trust
Being a researcher (in Information Science and Technology),Physical Science and Engineering,Research Methods,10455,English,4.8,Beginner,7,Carlo Ghezzi,4.8,Politecnico di Milano
Belles histoires d'entreprises à impact,Business,Leadership and Management,13926,French,4.8,Beginner,9,Thierry Sibieude,4.8,ESSEC Business School
Benjamin Franklin and His World,Arts and Humanities,History,1787,English,4.8,Beginner,11,"Ezekiel J. Emanuel, MD, PhD",4.9,University of Pennsylvania
Berbagi Data Melalui Seni Visualisasi,Data Science,Data Analysis,6529,Indonesian,4.9,Beginner,24,Google Career Certificates,4.8,Google
Discover Best Practice Farming for a Sustainable 2050,Health,Basic Science,38468,English,4.7,Beginner,9,Graeme Martin,4.7,University of Western Australia
Best Practices in Planning DE&I Interventions,Business,Leadership and Management,1766,English,4.9,Intermediate,5,"Richard Anthony Baker, J.D., M.P.A, Ph.D.",5.0,Rice University
"Beyond the Financials: Insights, Analysis and Valuations",Business,Business Strategy,1910,English,4.6,Intermediate,11,"Nerissa C. Brown, PhD CFE, W. Brooke Elliott, Brian Hamm",4.7,University of Illinois at Urbana-Champaign
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,Social Sciences,Governance and Society,20791,English,4.7,Beginner,9,"Arun Agrawal, Pamela Jagger, Maria Carmen Lemos, Bilal Butt",4.6,University of Michigan
编剧：像导演一样编剧,Arts and Humanities,Music and Art,4526,Chinese (Simplified),4.8,Other,7,"龚金平, 梁永安, 许 肖潇",4.7,Fudan University
Biases and Portfolio Selection,Business,Finance,17917,English,4.6,Other,15,Arzu Ozoguz,4.5,Rice University
"The Bible's Prehistory, Purpose, and Political Future",Arts and Humanities,History,27344,English,4.7,Other,19,Dr. Jacob L. Wright,4.7,Emory University
Villes africaines : Restructuration des quartiers précaires,Social Sciences,Governance and Society,6373,French,4.7,Other,11,"Jérôme Chenal, Isagha Diagana",4.7,École Polytechnique Fédérale de Lausanne
"Bienestar, equidad y derechos humanos",Health,Psychology,55142,Spanish,4.9,Beginner,5,"Diego Iván Lucumí Cuesta, Elvia Vargas Trujillo - Departamento de Psicología, Ángela María Rojas Martínez - Departamento de Psicología, Marta Carolina Ibarra A. - Facultad de Educación",4.9,Universidad de los Andes
From the Big Bang to Dark Energy,Physical Science and Engineering,Physics and Astronomy,96251,English,4.8,Beginner,31,Hitoshi Murayama,4.9,The University of Tokyo
"Big Data, Artificial Intelligence, and Ethics",Data Science,Data Analysis,28197,English,4.6,Beginner,12,Martin Hilbert,4.8,"University of California, Davis"
Big Data Analysis Deep Dive,Information Technology,Cloud Computing,1634,English,4.6,Intermediate,14,Jeremy Pedersen,4.6,Alibaba Cloud Academy
Big Data Emerging Technologies,Information Technology,Data Management,24669,English,4.7,Beginner,29,Jong-Moon Chung,4.9,Yonsei University
Graph Analytics for Big Data,Data Science,Data Analysis,50226,English,4.3,Other,13,Amarnath Gupta,4.4,University of California San Diego
Big Data Integration and Processing,Data Science,Data Analysis,73713,English,4.4,Beginner,17,"Amarnath Gupta, Ilkay Altintas",4.4,University of California San Diego
Introduction to Big Data,Data Science,Data Analysis,312070,English,4.6,Other,17,"Amarnath Gupta, Ilkay Altintas",4.7,University of California San Diego
مقدمة عن البيانات الضخمة,Data Science,Data Analysis,3311,Arabic,4.5,Other,17,"Amarnath Gupta, Ilkay Altintas",4.5,University of California San Diego
Big data and Language 1,Language Learning,Learning English,7195,English,4.5,Beginner,4,Seonmin Park,4.5,Korea Advanced Institute of Science and Technology(KAIST)
Machine Learning With Big Data,Data Science,Machine Learning,70494,English,4.6,Other,21,"Mai Nguyen, Ilkay Altintas",4.8,University of California San Diego
Big Data Modeling and Management Systems,Data Science,Data Analysis,94924,English,4.4,Other,13,"Amarnath Gupta, Ilkay Altintas",4.4,University of California San Diego
Big Data: procesamiento y análisis,Data Science,Data Analysis,14474,Spanish,4.2,Intermediate,12,"Isabel Serra, Llorenç Badiella",4.4,Universitat Autònoma de Barcelona
Big Data - Capstone Project,Data Science,Data Analysis,16290,English,4.4,Other,20,"Amarnath Gupta, Ilkay Altintas",4.8,University of California San Diego
Big Data: capstone project,Data Science,Data Analysis,4726,Spanish,4.7,Advanced,12,"Nadia Tonello, Pau Tallada, Francesc Torradeflot, Jorge Carretero",4.7,Universitat Autònoma de Barcelona
Big Data: visualización de datos,Data Science,Data Analysis,15309,Spanish,4.5,Intermediate,8,"Josep Curto Díaz, Quelic Berga Carreras, Julià Minguillón Alfonso, Ignasi Alcalde, Teresa Sancho Vinuesa",4.5,Universitat Autònoma de Barcelona
What’s Your Big Idea?,Business,Business Strategy,17423,English,4.6,Other,11,"Professor Buck  Goldstein, Dr. Holden Thorp, PhD ",4.8,The University of North Carolina at Chapel Hill
大數據分析：商業應用與策略管理 (Big Data Analytics: Business Applications and Strategic Decisions),Data Science,Data Analysis,20615,Chinese (Traditional),4.7,Beginner,17,"陳建錦, 楊立偉, 魏志平, 李正國",4.6,National Taiwan University
Big History - From the Big Bang until Today,Physical Science and Engineering,Physics and Astronomy,34600,English,4.6,Beginner,12,Esther Quaedackers,4.7,University of Amsterdam
The Bilingual Brain,Health,Psychology,40458,English,4.6,Other,14,Arturo E.  Hernandez,4.7,University of Houston
BIM Application for Engineers,Physical Science and Engineering,Mechanical Engineering,35498,English,4.7,Intermediate,19,謝尚賢,4.7,National Taiwan University
BIM Fundamentals for Engineers,Physical Science and Engineering,Mechanical Engineering,74727,English,4.7,Beginner,12,謝尚賢,4.7,National Taiwan University
工程資訊管理 BIM 塑模,Physical Science and Engineering,Mechanical Engineering,3497,Chinese (Traditional),4.7,Other,28,謝尚賢,4.7,National Taiwan University
工程資訊管理 BIM 應用,Physical Science and Engineering,Environmental Science and Sustainability,2408,Chinese (Traditional),4.8,Other,19,謝尚賢,4.7,National Taiwan University
Biología bucal,Health,Healthcare Management,13926,Spanish,4.9,Beginner,3,José Guillermo Villagómez Olea,4.7,Universidad Nacional Autónoma de México
Bioconductor for Genomic Data Science,Data Science,Data Analysis,22104,English,3.9,Other,8,"Kasper Daniel Hansen, PhD",4.0,Johns Hopkins University
High Level Biocontainment for Healthcare Facilities,Health,Public Health,3694,English,4.7,Intermediate,11,"Analisa McMillan, PhD, MSEd, Sharon Medcalf, PhD, Peggy Moore, MSEd, Marty Magee MSA, MLS",4.7,University of Nebraska
Biohacking Your Brain's Health,Health,Basic Science,103446,English,4.7,Beginner,13,"Karima Benameur, MD",4.5,Emory University
Biology Meets Programming: Bioinformatics for Beginners,Health,Health Informatics,169405,English,4.2,Beginner,18,"Pavel  Pevzner, Phillip Compeau",4.1,University of California San Diego
Bioinformatic Methods I,Health,Health Informatics,105888,English,4.7,Beginner,19,Nicholas James Provart,4.7,University of Toronto
Bioinformatic Methods II,Health,Health Informatics,33992,English,4.7,Beginner,18,Nicholas James Provart,4.7,University of Toronto
Bioinformatics: Introduction and Methods 生物信息学: 导论与方法,Health,Health Informatics,41262,Chinese (Simplified),4.4,Other,24,"Liping Wei 魏丽萍, Ph.D., Ge Gao 高歌, Ph.D.",4.4,Peking University
Bioinformatics Capstone: Big Data in Biology,Health,Health Informatics,4675,English,3.8,Intermediate,12,"Pavel  Pevzner, Phillip Compeau",4.7,University of California San Diego
Biology Everywhere Foundations,Health,Basic Science,12535,English,4.5,Beginner,10,Melanie Peffer,4.9,University of Colorado Boulder
生物学概念与途径,Health,Basic Science,3830,Chinese (Simplified),5.0,Intermediate,39,饶毅,4.7,Peking University
Biomedical Visualisation,Health,Health Informatics,25969,English,4.6,Intermediate,22,"Paul Rea, Amy Webster",4.5,University of Glasgow 
Biosphere 2 Science for the Future of Our Planet,Physical Science and Engineering,Environmental Science and Sustainability,5825,English,4.9,Beginner,28,"Kevin E. Bonine, PhD",4.8,University of Arizona
Mathematical Biostatistics Boot Camp 1,Math and Logic,Math and Logic,75444,English,4.4,Other,13,"Brian Caffo, PhD",4.4,Johns Hopkins University
Mathematical Biostatistics Boot Camp 2,Data Science,Probability and Statistics,20020,English,4.3,Other,11,"Brian Caffo, PhD",4.6,Johns Hopkins University
Bitirme Projesi: Proje Yönetimini Gerçek Dünyada Uygulamak,Business,Leadership and Management,2795,Turkish,4.9,Beginner,32,Google Career Certificates,4.9,Google
Black Agricultural Solutions to Food Apartheid: A Teach-Out,Health,Public Health,1845,English,4.6,Beginner,5,"Shannon Frattaroli, PhD, MPH, Ashley B. Gripper, PhD, MPH",4.8,Johns Hopkins University
Black-box and White-box Testing,Computer Science,Software Development,17385,English,3.7,Intermediate,26,"Mike, Kevin Wendt",4.6,University of Minnesota
Astro 101: Black Holes,Physical Science and Engineering,Physics and Astronomy,41798,English,4.8,Beginner,18,Sharon Morsink,4.8,University of Alberta
Black Lives Matter,Arts and Humanities,History,4146,English,4.5,Beginner,16,"Tristan Cabello, PhD",4.5,Johns Hopkins University
Reimagining Blackness and Architecture,Arts and Humanities,Music and Art,8265,English,4.8,Beginner,14,"Sean Anderson, Arlette Hernandez",4.9,The Museum of Modern Art
"Understanding, Using, and Securing Crypto and Digital Assets",Information Technology,Security,3301,English,4.8,Beginner,2,AICPA ,4.5,Association of International Certified Professional Accountants
Blended Language Learning: Design and Practice for Teachers,Language Learning,Learning English,11645,English,4.8,Intermediate,20,Edwige Simon,4.9,University of Colorado Boulder
Blended Learning: Personalizing Education for Students,Social Sciences,Education,18766,English,4.7,Other,9,"Michael  Horn, Clayton Christensen Institute, New Teacher Center, Silicon Schools Fund, Brian Greenberg, Rob Schwartz",4.7,Relay Graduate School of Education
Blockchain Basics,Computer Science,Software Development,231789,English,4.6,Beginner,15,"University at Buffalo, Bina Ramamurthy",4.5,The State University of New York
Blockchain and Business,Business,Business Essentials,19044,English,4.7,Other,28,"Don Tapscott, Alex Tapscott",4.7,INSEAD
Blockchain Business Models,Business,Finance,17471,English,4.7,Intermediate,12,Cam Harvey,4.8,Duke University
"Blockchain, Cryptoassets, and Decentralized Finance",Computer Science,Computer Security and Networks,14329,English,4.7,Beginner,17,"Don Tapscott, Alex Tapscott",4.8,INSEAD
Blockchain for the decision maker,Business,Business Strategy,4128,English,4.0,Beginner,1,"Asja Kamenica, Enrique Barra",4.3,EIT Digital 
La Disrupción del Blockchain,Business,Finance,39956,Spanish,4.8,Beginner,16,Federico Ast,4.9,Universidad Austral
Blockchain Evolution and Technology Concepts,Information Technology,Security,4664,English,4.7,Beginner,3,AICPA ,4.6,Association of International Certified Professional Accountants
Blockchain: Foundations and Use Cases,Computer Science,Computer Security and Networks,84516,English,4.7,Beginner,10,ConsenSys Academy,4.7,ConsenSys Academy
Blockchain Opportunities Beyond Crypto Assets ,Information Technology,Security,2450,English,4.5,Beginner,2,AICPA ,4.9,Association of International Certified Professional Accountants
Blockchain Opportunity Analysis,Business,Business Strategy,19159,English,4.6,Intermediate,12,"Don Tapscott, Alex Tapscott",4.7,INSEAD
Blockchain Platforms,Computer Science,Software Development,35709,English,4.6,Intermediate,16,"University at Buffalo, Bina Ramamurthy",4.5,The State University of New York
