name,field,enrollment,language,rating,level,duration,description,skill,instructor,offered by
"Understanding, Using, and Securing Crypto and Digital Assets",Information Technology > Security,"3,301 already enrolled",Taught in English,4.8,Beginner level,2 hours (approximately),None,,4.5  {'AICPA '},Association of International Certified Professional Accountants
Blended Language Learning: Design and Practice for Teachers,Language Learning > Learning English,"11,645 already enrolled",Taught in English,4.8,Intermediate level,Approx. 20 hours to complete,Explain blended learning as a teaching modality and discuss its effectivenessList and discuss the main instructional design steps involved in building a blended language courseSelect tools and technologies to support blended language learningDiscuss effective blended teaching strategies,"teaching blended language courses, blended language course design, hybrid language learning, hybrid teaching, hybrid learning activities",4.9  {'Edwige Simon'},University of Colorado Boulder
Blended Learning: Personalizing Education for Students,Social Sciences > Education,"18,766 already enrolled",Taught in English,4.7,,Approx. 9 hours to complete,None,,"4.7  {'Michael  Horn', 'Clayton Christensen Institute', 'New Teacher Center', 'Silicon Schools Fund', 'Brian Greenberg', 'Rob Schwartz'}",Relay Graduate School of Education
"Computational Thinking for K-12 Educators: Abstraction, Methods, and Lists",Social Sciences > Education,,Taught in English,,Beginner level,9 hours (approximately),None,"Education, want, belief, aunt",None {'Beth Simon'},University of California San Diego
Computational Thinking for K-12 Educators: Conditional Loops and If Statements,Social Sciences > Education,,Taught in English,,Beginner level,11 hours (approximately),None,"want, Clapping, hopefully, Abductive Reasoning",None {'Beth Simon'},University of California San Diego
Computational Thinking for K-12 Educators: Nested If Statements and Compound Conditionals ,Social Sciences > Education,,Taught in English,,Beginner level,11 hours (approximately),None,"Education, want, Resource, Causality",None {'Beth Simon'},University of California San Diego
Computational Thinking for K-12 Educators: Variables and Nested Loops,Social Sciences > Education,,Taught in English,,Beginner level,15 hours (approximately),None,"Sports, want, Brainstorming, Broadcast",None {'Beth Simon'},University of California San Diego
Introduction to Blockchain,Computer Science > Software Development,,Taught in English,,Beginner level,Approx. 8 hours to complete,None,,None {'James Won-Ki HONG'},Pohang University of Science and Technology(POSTECH)
Blockchain Basics,Computer Science > Software Development,"231,789 already enrolled",Taught in English,4.6,Beginner level,15 hours (approximately),"A learner will be able to recognize foundational concepts of blockchain, and apply these program concepts on the blockchain.","Ethereum, Cryptography, Blockchains, Bitcoin","4.5  {'University at Buffalo', 'Bina Ramamurthy'}",The State University of New York
블록체인의 기초,Computer Science > Software Development,,Taught in Korean,,Beginner level,Approx. 15 hours to complete,수강생은 블록체인의 기본 개념을 이해하고 이러한 프로그램 개념을 블록체인에 적용할 수 있게 됩니다.,,"None {'University at Buffalo', 'Bina Ramamurthy'}",The State University of New York
Blockchain and Business,Business > Business Essentials,"19,044 already enrolled",Taught in English,4.7,,28 hours (approximately),"Explain how blockchain technology will transform business structures, roles, and functionsDescribe seven new blockchain business modelsIdentify some strategic approaches to managing intellectual property with blockchain technologiesIdentify the layers comprising the blockchain technology stack, and describe how each of these affects the governance of a blockchain ecosystem",,"4.7  {'Don Tapscott', 'Alex Tapscott'}",INSEAD
Blockchain Business Models,Business > Finance,"17,471 already enrolled",Taught in English,4.7,Intermediate level,12 hours (approximately),None,"Business Model, Blockchains, Cryptocurrency, Innovation, Disruptive Innovation",4.8  {'Cam Harvey'},Duke University
"Blockchain, Cryptoassets, and Decentralized Finance",Computer Science > Computer Security and Networks,"14,329 already enrolled",Taught in English,4.7,Beginner level,17 hours (approximately),"Describe seven types of cryptoassets, and explain what it means to “tokenize” an assetExplain what a smart contract is, as well as various applications of smart contractsExplore the features of a distributed, self-sovereign identity systemDescribe eight core functions of the financial services industry and explain how blockchain will disrupt each of these functions","Object Binding, Alcatel Business Communications, Centurylink, Base Address","4.8  {'Don Tapscott', 'Alex Tapscott'}",INSEAD
Blockchain for the decision maker,Business > Business Strategy,"4,128 already enrolled",Taught in English,4.0,Beginner level,Approx. 1 hour to complete,None,,"4.3  {'Asja Kamenica', 'Enrique Barra'}",EIT Digital 
Blockchain : enjeux et mécanismes cryptographiques,Computer Science > Algorithms,,Taught in French,,Intermediate level,Approx. 32 hours to complete,"Décrire les principes de fonctionnement de la technologie blockchain et comparer les différents types de blockchain (publiques, privées, consortium)Expliquer les propriétés cryptographiques nécessaires pour la mise en oeuvre d’une blockchain : intégrité, authentification et non-répudiationIllustrer et manipuler le protocole Bitcoin: arbres de Merkle, Proof-of-work, gestion des transactions, auditabilité et des mises à jour de la chaîneExpliquer le fonctionnement des signatures numériques (protocole de signature ECDSA, fonction de hachage SHA-256) ","Cryptocurrency, digital signature, Bitcoin, Blockchain","None {'Gaël Thomas', 'Romaric Ludinard', 'Hélène Le Bouder'}",Institut Mines-Télécom
La Disrupción del Blockchain,Business > Finance,"39,956 already enrolled",Taught in Spanish,4.8,Beginner level,Approx. 16 hours to complete,None,"Smart Contract, Ethereum, Blockchains, Cryptocurrency, Bitcoin",4.9  {'Federico Ast'},Universidad Austral
Blockchain Evolution and Technology Concepts,Information Technology > Security,"4,664 already enrolled",Taught in English,4.7,Beginner level,3 hours (approximately),None,,4.6  {'AICPA '},Association of International Certified Professional Accountants
Blockchain: Foundations and Use Cases,Computer Science > Computer Security and Networks,"84,516 already enrolled",Taught in English,4.7,Beginner level,Approx. 10 hours to complete,None,,4.7  {'ConsenSys Academy'},ConsenSys Academy
Blockchain e Negócios: Aplicativos e Implicações,Business > Business Essentials,,Taught in Portuguese (Brazilian),,,27 hours (approximately),"Explicar como a tecnologia blockchain transformará as estrutura de negócios, papéis e funções corporativasDefinir termos como Aplicações distribuídas (DApps), agente autônomo, empresas de rede aberta e empresas autônomas distribuídasIdentificar algumas abordagens estratégicas para gerenciar a propriedade intelectual com as tecnologias blockchainIdentificar as camadas pertencentes a pilha da tecnologia blockchain e descrever como cada uma delas afetam a governança de um ecossistema blockchain",,"None {'Don Tapscott', 'Alex Tapscott'}",INSEAD
Blockchain Opportunities Beyond Crypto Assets ,Information Technology > Security,"2,450 already enrolled",Taught in English,4.5,Beginner level,2 hours (approximately),None,,4.9  {'AICPA '},Association of International Certified Professional Accountants
Blockchain Opportunity Analysis,Business > Business Strategy,"19,159 already enrolled",Taught in English,4.6,Intermediate level,12 hours (approximately),"Identify new ideas or opportunities for blockchain within your chosen industryExplain how you will position your idea, including how your idea will create new value for your customersIdentify the business model decisions that would need to be made in order to assess the feasibility of your ideaDescribe what would need to change in your organization's current way of operating in order to bring your idea to fruition",,"4.7  {'Don Tapscott', 'Alex Tapscott'}",INSEAD
Blockchain Opportunity Analysis for Global Commerce,Business > Business Strategy,,Taught in English,,Intermediate level,12 hours (approximately),"Identify new ideas or opportunities for blockchain within Global CommerceExplain how you will position your idea, including how your idea will create new value for your customersIdentify the business model decisions that would need to be made in order to assess the feasibility of your ideaDescribe what would need to change in your organization's current way of operating in order to bring your idea to fruition",,"None {'Don Tapscott', 'Alex Tapscott'}",INSEAD
Blockchain Platforms,Computer Science > Software Development,"35,709 already enrolled",Taught in English,4.6,Intermediate level,16 hours (approximately),This fourth course of the Blockchain specialization provides learners with an understanding of the broader blockchain ecosystem.,"Blockchain Platforms, Microsoft Azure, Hyperledger, Augur, Grid+","4.5  {'University at Buffalo', 'Bina Ramamurthy'}",The State University of New York
Blockchain 360: A State of the Art for Professionals,Business > Leadership and Management,"8,453 already enrolled",Taught in English,4.5,Beginner level,Approx. 3 hours to complete,Understand what blockchain is and how can it be applied in different application domains.,,"4.5  {'Asja Kamenica', 'Enrique Barra'}",EIT Digital 
Blockchain Scalability and its Foundations in Distributed Systems,Computer Science > Computer Security and Networks,"5,739 already enrolled",Taught in English,4.5,Beginner level,Approx. 11 hours to complete,None,,4.8  {'Vincent Gramoli'},The University of Sydney
Blockchain Security,Computer Science > Computer Security and Networks,"4,908 already enrolled",Taught in English,4.6,Beginner level,Approx. 8 hours to complete,None,,4.9  {'Howard Poston'},Infosec
Blockchain in Financial Services: Strategic Action Plan,Computer Science > Computer Security and Networks,"6,184 already enrolled",Taught in English,4.5,Intermediate level,14 hours (approximately),"Identify new ideas or opportunities for blockchain within the financial services industryExplain how you will position your idea, including how your idea will create new value for your customersIdentify the business model decisions that would need to be made in order to assess the feasibility of your ideaDevelop an execution plan for your idea, including a budget and project roadmap, and consolidate your work into a coherent Strategic Action Plan",,"4.8  {'Don Tapscott', 'Alex Tapscott'}",INSEAD
The Blockchain System,Computer Science > Algorithms,"4,899 already enrolled",Taught in English,4.1,Beginner level,12 hours (approximately),None,,3.2  {'Stefano M. Stefan'},"University of California, Irvine"
Blockchain Transformations of Financial Services,Computer Science > Computer Security and Networks,"6,499 already enrolled",Taught in English,4.7,Beginner level,15 hours (approximately),"Identify eight functions of the financial services industry and explain how blockchain will disrupt each of these functionsDescribe how blockchain will transform the roles of financial managers and the CFODescribe the inefficiencies associated with global payments infrastructure, and the solutions blockchain technologies could offerIdentify the threats and opportunities of blockchain technology for central banks",,"4.7  {'Don Tapscott', 'Alex Tapscott'}",INSEAD
Blockchain Theory and Applications  I,Information Technology > Data Management,,Taught in English,,Intermediate level,Approx. 6 hours to complete,None,,None {'James Won-Ki HONG'},Pohang University of Science and Technology(POSTECH)
Blockchain Theory and Applications Ⅱ,Information Technology > Data Management,,Taught in English,,Intermediate level,Approx. 4 hours to complete,None,,None {'James Won-Ki HONG'},Pohang University of Science and Technology(POSTECH)
Blood Film Morphology - A Practical Guide,Health > Basic Science,"5,491 already enrolled",Taught in English,4.8,Intermediate level,Approx. 35 hours to complete,"After succesfully completing the course, the learner will have achieved an intermediate level of competence in interpreting & analysing blood films.","To be able to apply this systematic approach to blood film using real worked case studies, To diagnose infectious diseases based on blood film appearances, To be able to apply a template for analysing abnormal white cell populations, To confidently use a structure when analysing abnormalities of quantity and quality of blood cells in adults and children",4.9  {'Matthew Wright'},University of Western Australia
Blue Prism Foundation Training,Information Technology > Data Management,"2,971 already enrolled",Taught in English,4.6,Beginner level,Approx. 19 hours to complete,"After completing this course you will have acquired all of the practical skills and knowledge required, to build an end-to-end Blue Prism Solution.","robotic process automation, Data Analysis, rpa, intelligent automation, Business Process",4.4  {'Blue Prism'},Blue Prism
Business Model Innovation for Sustainable Landscape Restoration,Business > Business Strategy,"6,328 already enrolled",Taught in English,4.7,Beginner level,Approx. 40 hours to complete,None,,"4.8  {'Simon W. Moolenaar', 'Thorunn Petursdottir', 'Berglind Orradóttir', 'Steve Kennedy', 'Isabel C Barrio', 'Joris De Vente', 'Rob van Tulder'}",Erasmus University Rotterdam
لغة الجسد | Body Language,Personal Development > Personal Development,"5,700 already enrolled",Taught in Arabic,4.5,Beginner level,Approx. 2 hours to complete,كيفية اكتشاف الكذبالأخطاء الشائعة في استخدام لغة الجسد وكيفية تجنبهاأهم الحركات والإيماءات الخاصة بلغة الجسد أهمية ومفهوم وأنواع لغة الجسد.,"الإدراك, التواصل, الإقناع",4.6  {'Alfaisal.KLD'},Alfaisal University | KLD
Stocks and Bonds,Business > Finance,"31,026 already enrolled",Taught in English,4.6,Beginner level,9 hours (approximately),Pricing and trading of bondsPricing and trading of stocksHow companies are financed and why,"Pricing Stocks, Trading in Financial Markets, Pricing Bonds",4.7  {'Gautam Kaul'},University of Michigan
Advanced Understanding of Stocks and Bonds,Business > Finance,"3,697 already enrolled",Taught in English,4.7,Intermediate level,12 hours (approximately),"Learn about stock valuation, growth and different types of growthLearn about different sources of risks in bondsApply these concepts in practice assignments","Bond Valuation, Trading in finacial market, Stock Valuation",5.0  {'Gautam Kaul'},University of Michigan
Bookkeeping Basics,Business > Business Essentials,"135,443 already enrolled",Taught in English,4.6,Beginner level,16 hours (approximately),Define accounting and the concepts of accounting measurement.Explain the role of a bookkeeper and common bookkeeping tasks and responsibilities.Summarize the double entry accounting method.Explain the ethical and social responsibilities of bookkeepers in ensuring the integrity of financial information.,"Double-Entry Bookkeeping System, Basis Of Accounting, Creating Financial Statements, accounting software, Accounting Cycle",4.6  {'Intuit Academy Team'},Intuit
"Brand Management: Aligning Business, Brand and Behaviour",Business > Entrepreneurship,"413,092 already enrolled",Taught in English,4.9,Beginner level,Approx. 17 hours to complete,None,"Corporate Branding, Brand Marketing, Brand Management, Brand Identity","4.9  {'University of London', 'Nader Tavassoli'}",London Business School
 Storytelling in Branding and Content Marketing ,Arts and Humanities > History,"29,484 already enrolled",Taught in English,4.4,Beginner level,13 hours (approximately),None,,4.2  {'Pedro Cifuentes Huertas'},IE Business School
Brand Identity and Strategy,Business > Marketing,"62,715 already enrolled",Taught in English,4.7,Intermediate level,16 hours (approximately),None,"Advertising, Logo, Brand, Brand Identity",4.7  {'MARÍA EIZAGUIRRE DIÉGUEZ'},IE Business School
From Brand to Image: Creating High Impact Campaigns That Tell Brand Stories,Business > Marketing,"25,311 already enrolled",Taught in English,4.7,Beginner level,9 hours (approximately),None,,4.8  {'Brian Hallett'},IE Business School
Brand and Product Management,Business > Marketing,"99,434 already enrolled",Taught in English,4.7,Beginner level,14 hours (approximately),"Demonstrate understanding of the product and brand strategy concepts to develop the factual support to define a winning product and brand strategy.Define a brand name and identity, and develop a system to incorporate future products into a portfolio, enhancing its value and supporting growth.Describe the customer experience journey to identify, define, and implement key brand touchpoints.Explain and apply the process to embed a brand internally within an organization to engage employees to deliver on the brand promise.","Product Strategy, Brand Architecture, Customer Experience, Brand and Product Management, Brand Engagement",4.7  {'Luis Rodriguez Baptista'},IE Business School
Brand Management: Strategies for a Strong Brand,Business > Marketing,,Taught in English,,Beginner level,Approx. 3 hours to complete,"Understand main advanced brand management strategies, including brand positioning, brand architecture, and brand extensionsBrand equity, data tools, sentiment analysis, and valuation models guide strategic decisions in marketing.Build a Brand Value Statement with input from customers, departments, and diverse feedback sources to align with brand purpose and customer needs.Increase awareness on the concept of Brand Governance, and how methods and frameworks can be used to create logical applications and uses of a brand.","Equity, Communication, governance, Innovation, Positioning",None {'Hector Sandoval'},Coursera Instructor Network
Brand New Brand,Arts and Humanities > Music and Art,"32,815 already enrolled",Taught in English,4.9,Intermediate level,24 hours (approximately),"Synthesize typography, imagemaking, composition and systematic thinking skills through ideation, invention, and conceptualizationDemonstrate visual research and development skills through the creation of a Brand Development GuideExpand a brand identity's palette through the inclusion of graphic marks or icons, color, secondary typefaces, and/or images ","Adobe Photoshop, Adobe Indesign, Graphics, Color Theory",4.8  {'Michael Worthington'},California Institute of the Arts
Branding for Differential Advantage with Jagdish Sheth,Business > Marketing,,Taught in English,,Beginner level,8 hours (approximately),None,"Understand how branding is an intangible asset, Understand the value of branding, Understand how to do brand extension, Understand how to differentiate brands by their ingredients and their recipes and packaging, Understand how to create a global brand",None {'Jagdish Sheth'},University System of Georgia
Branding and Customer Experience,Business > Marketing,"29,412 already enrolled",Taught in English,4.6,Intermediate level,11 hours (approximately),None,"Employment, Leadership, Management, Customer Experience",4.7  {'Michael Thompson'},IE Business School
Pluralidades em Português Brasileiro,Language Learning > Other Languages,"37,830 already enrolled",Taught in Portuguese (Brazilian),4.8,Advanced level,Approx. 23 hours to complete,None,,"4.8  {'Ana Rute Mendes', 'Denise Bértoli Braga', 'Raquel Rodrigues Caldas', 'Cláudia Hilsdorf Rocha', 'Paula Rodrigues Furtado'}",Universidade Estadual de Campinas
Introduction to Breast Cancer,Health > Basic Science,"52,407 already enrolled",Taught in English,4.9,,Approx. 12 hours to complete,None,"Cancer, Surgery, Biomarkers, Breast Cancer","5.0  {'Anees B. Chagpar, MD, MSc, MPH, MA, MBA, FRCS(C), FACS'}",Yale University
Stanford's Short Course on Breastfeeding,Health > Patient Care,"35,147 already enrolled",Taught in English,4.8,Beginner level,Approx. 4 hours to complete,None,,"4.8  {'Maya Adam, MD'}",Stanford University
Breastfeeding and Adequate Substitutes,Health > Nutrition,"2,137 already enrolled",Taught in English,4.9,Intermediate level,Approx. 8 hours to complete,None,,"None {'Dr. Shweta Feher', 'Prof. Dr. Berthold Koletzko'}",Ludwig-Maximilians-Universität München (LMU)
Breastfeeding: Public Health Perspectives,Health > Public Health,"2,510 already enrolled",Taught in English,4.7,Beginner level,Approx. 12 hours to complete,Understand short- and long-term health benefits of breastfeeding.Discover the economic and environmental impacts of breastfeeding.Design educational materials to promote breastfeeding.,"Breastfeeding, Public Health",4.8  {'Olivia S. Anderson'},University of Michigan
Bridging the Gap between Strategy Design and Delivery,Business > Business Strategy,"28,733 already enrolled",Taught in English,4.8,Intermediate level,Approx. 19 hours to complete,None,"Strategic Management, Strategy Implementation, Leadership, Management, Business Strategy",4.8  {'Ricardo Viana Vargas'},Brightline Initiative
"Brilliant, Passionate You",Personal Development > Personal Development,"33,038 already enrolled",Taught in English,4.6,Beginner level,Approx. 18 hours to complete,Reflect on the best moments of your life and describe connections between those moments.Describe the personal qualities that represent your best selfArticulate what growth mindset and mindful compassion are and how they support self-improvementCreate a life purpose statement based on your best self and values,"Self-Help, Storytelling, Purpose",4.6  {'Center for Academic Innovation Experts'},University of Michigan
Bring Your Story to Life – Video Post-Production,Personal Development > Personal Development,"3,094 already enrolled",Taught in English,4.7,Beginner level,9 hours (approximately),Create a “paper edit” using time code in their script.Apply knowledge of professional editing workflows.Perform basic editing.Interpret editing patterns and transitions.,"Video Post-Production, Video Editing, Video Production, Editing","None {'Paul Daugherty', 'Emilie Johnson'}",University of Colorado Boulder
Browser-based Models with TensorFlow.js,Computer Science > Software Development,"42,568 already enrolled",Taught in English,4.8,Intermediate level,18 hours (approximately),Train and run inference in a browserHandle data in a browserBuild an object classification and recognition model using a webcam,"Tensorflow, Convolutional Neural Network, Object Detection, Machine Learning, TensorFlow.js",4.8  {'Laurence Moroney'},DeepLearning.AI
Budgeting essentials and development,Business > Business Strategy,"21,269 already enrolled",Taught in English,4.5,Intermediate level,Approx. 26 hours to complete,None,,"4.4  {'Fernando Fleury', 'Nelson Yoshida', 'Samantha Mazzero', 'Roberto Dumas Damas', 'Alberto Sansiviero Jr.'}",Fundação Instituto de Administração
Bugs 101: Insect-Human Interactions,Health > Basic Science,"43,725 already enrolled",Taught in English,4.9,Beginner level,Approx. 49 hours to complete,None,"Biology, Entomology, Science, Ecology",4.9  {'Dr. Maya Evenden'},University of Alberta
Build & Deploy Your Web Dev Portfolio,Computer Science > Software Development,,Taught in English,,Intermediate level,Approx. 2 hours to complete,None,"HTML and CSS, JavaScript","None {'Per Harald Borgen', 'Kevin Powell'}",Scrimba
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Computer Science > Algorithms,"187,481 already enrolled",Taught in English,4.9,,Approx. 43 hours to complete,None,"Logic Gate, Computer Architecture, Assembly Languages, Hardware Description Language (HDL)","4.9  {'Shimon Schocken', 'Noam  Nisan'}",Hebrew University of Jerusalem
Build a Data Warehouse Using BigQuery,Data Science > Data Analysis,,Taught in English,,Advanced level,Approx. 8 hours to complete,"Create efficient data warehouses and tables using Google BigQuery's UI and SQL  Build dynamic ETL pipelines with Python, incorporating partitioning and clustering strategies.  Perform advanced queries, including aggregate and window functions, for insightful data analysis.  ","Extraction, Transformation And Loading (ETL), Bigquery, Python Programming, SQL, Warehousing",None {'Caio Avelino'},Starweaver
Build a Mobile App with Firebase,Computer Science > Software Development,,Taught in English,,Intermediate level,Approx. 2 hours to complete,"Firebase basics, mobile app design","HTML and CSS, firebase, JavaScript",None {'Rafid Hoda'},Scrimba
Build a Webpage with HTML and CSS,Computer Science > Mobile and Web Development,,Taught in English,,Beginner level,22 hours (approximately),"Grasp fundamentals of HTML, mastering the structure and usage of tags, attributes, and elements to define web content and layout. Understand and apply CSS basics, learning to control layout, typography, and color schemes while comprehending the concept of cascading. Delve into Bootstrap's framework, leveraging its pre-built components to create professional, mobile-friendly web designs. Acquire foundational web design principles, emphasizing responsive design and ensuring web pages are visually appealing across devices.","Bootstrap (Front-End Framework), Web Design, Web Page, HTML5, Cascading Style Sheets (CSS)",None {'Board Infinity'},Board Infinity 
"Build AI Apps with ChatGPT, Dall-E, and GPT-4",Data Science > Machine Learning,"10,130 already enrolled",Taught in English,4.2,Intermediate level,Approx. 5 hours to complete,None,"Web Development Tools, javascript syntax, Artificial Neural Network, Machine Learning (ML) Algorithms",4.5  {'Tom Chant'},Scrimba
Building Alliances in Global Health: From Global to Local,Health > Public Health,,Taught in English,,Intermediate level,Approx. 11 hours to complete,None,,"None {'Anna Kalbarczyk', 'Olakunle Alonge', 'Svea Closser'}",Johns Hopkins University
Build and Implement Microservices Patterns,Computer Science > Software Development,"1,813 already enrolled",Taught in English,,,11 hours (approximately),Build microservices and explore the inter-process communication between microservices synchronously and asynchronously      ,"Asynchronous Communication - RabbitMQ Message Bus, Microservices, Synchronous Communication Request-Response Model, Microservice Communication",None {'NIIT'},NIIT
Build and Operate Machine Learning Solutions with Azure,Data Science > Machine Learning,"5,499 already enrolled",Taught in English,4.4,Intermediate level,31 hours (approximately),Learn how to use the Azure Machine Learning Python SDK to create and manage enterprise-ready ML solutionsWork with Data and Computer in Azure Machine LearningUse the Azure Machine Learning SDK to train a model. Select models and protect sensitive dataOrchestrate pipelines and deploy real-time machine learning services with Azure Machine Learning,"Modeling, Microsoft Azure, Data Security, Machine Learning",4.4  {' Microsoft'},Microsoft
Build Your Own iOS App,Computer Science > Mobile and Web Development,"3,002 already enrolled",Taught in English,3.3,,6 hours (approximately),None,,None {'Parham Aarabi'},University of Toronto
Build Basic Generative Adversarial Networks (GANs),Data Science > Machine Learning,"59,548 already enrolled",Taught in English,4.7,Intermediate level,30 hours (approximately),None,"Components of GANs, WGANs, DCGANs, Controllable Generation, Conditional Generation","4.8  {'Eric Zelikman', 'Eda Zhou', 'Sharon Zhou'}",DeepLearning.AI
Build Better Generative Adversarial Networks (GANs),Data Science > Machine Learning,"25,872 already enrolled",Taught in English,4.7,Intermediate level,28 hours (approximately),None,"StyleGANs, GAN Evaluation, Pros and Cons of GANs, GANs Alternatives, Bias in GANs","4.6  {'Eric Zelikman', 'Eda Zhou', 'Sharon Zhou'}",DeepLearning.AI
Building a Data Science Team,Data Science > Data Analysis,"46,778 already enrolled",Taught in English,4.5,,6 hours (approximately),Describe the various roles that make up a Data Science teamManage a Data Science team onboardingKnow relevant questions for interviewing data scientistsUnderstand how to encourage and empower Data Science teams,"Team Building, Data Science, Management, Team Management","4.7  {'Brian Caffo, PhD', 'Jeff Leek, PhD', 'Roger D. Peng, PhD'}",Johns Hopkins University
"Build Decision Trees, SVMs, and Artificial Neural Networks",Data Science > Machine Learning,"2,628 already enrolled",Taught in English,4.9,Intermediate level,21 hours (approximately),Train and evaluate decision trees and random forests for regression and classification.Train and evaluate support-vector machines (SVM) for regression and classification.Train and evaluate multi-layer perceptron (ML) artificial neural networks (ANN) for regression and classification.Train and evaluate convolutional neural networks (CNN) and recurrent neural networks (RNN) for computer vision and natural language processing tasks.,"Artificial Neural Network, Machine Learning (ML) Algorithms, Deep Learning, Support Vector Machine (SVM), Decision Tree",None {'Stacey McBrine'},CertNexus
Build personal resilience,Business > Leadership and Management,"34,765 already enrolled",Taught in English,4.8,,17 hours (approximately),Critically evaluate the nature of work stress and approaches to manage stressReflect on personal sources of stress in the extent of personal resilienceApply strategies and skills for enhancing resilience to a variety of situations when managing yourself and others,,4.7  {'Dr Alena Soboleva'},Macquarie University
"Build Regression, Classification, and Clustering Models",Data Science > Machine Learning,"1,589 already enrolled",Taught in English,4.2,Intermediate level,20 hours (approximately),Train and evaluate linear regression models.Train binary and multi-class classification models.Evaluate and tune classification models to improve their performance.Train and evaluate clustering models to find useful patterns in unsupervised data.,"Linear Regression, Machine Learning (ML) Algorithms, Machine Learning, classification, clustering",None {'Anastas Stoyanovsky'},CertNexus
Building Reusable React,Computer Science > Software Development,,Taught in English,,Advanced level,Approx. 5 hours to complete,None,"React (Web Framework), JavaScript",None {'Cassidy Williams'},Scrimba
Sales Training: Building Your Sales Career,Business > Business Essentials,"26,757 already enrolled",Taught in English,4.7,Beginner level,13 hours (approximately),None,"Sales Strategy, Sales, Communication, Inbound Sales",4.7  {'Kyle Jepson'},HubSpot Academy
إنشاء إطارات شبكية ونماذج أوّلية منخفضة الدقة,Computer Science > Design and Product,,Taught in Arabic,,Beginner level,20 hours (approximately),"قم بإنشاء مخططات القصة للتوصل إلى أفكار حول حلول لاحتياجات المستخدم.
قم بإنشاء إطارات شبكية على الورق ورقميًا في أداة التصميم Figma.
قم بإنشاء النماذج الورقية لإنشاء تصميمات تفاعلية.صمم نماذج أوّلية منخفضة الدقة في Figma. ","تصميم تجربة المستخدم (UXD), النموذج الأوّلي, الإطار الشبكي, بحث تجربة المستخدم, تجربة المستخدم (UX)",None {'Google Career Certificates'},Google
Building a Complete MEAN Stack Application,Computer Science > Mobile and Web Development,,Taught in English,,Intermediate level,9 hours (approximately),"Design scalable backends with MEAN stack; learn authentication, authorization, security, and handling large users and requests.  Develop a single-page application using AngularJS, including views, controllers, services, routing, forms, and dynamic views. Create a responsive frontend using AngularJS, HTML, CSS; learn to connect the frontend with the backend API through HTTP requests. Learn to deploy the complete MEAN stack application, including production environment setup, configuration, and performance monitoring. ","Node.Js, Mongodb, Express JS, Angularjs, Representational State Transfer (REST)",None {'Board Infinity'},Board Infinity 
Building a Healthy Plate,Health > Nutrition,,Taught in English,,Beginner level,Approx. 10 hours to complete,Identify components of healthful dietary patterns.Recognize healthy options within each food group.Select foods that belong on a balanced plate.,,None {'Julia Hilbrands'},Tufts University
بناء خطة التسويق |Building a Marketing Plan ‎,Business > Marketing,,Taught in Arabic,,Beginner level,Approx. 1 hour to complete,شرح تقييم خطة التسويق  استعراض خطوات إعداد خطة التسويق  فهم أهمية إعداد خطة التسويق  ,التسويق، إدارة علاقات العملاء,None {'Alfaisal.KLD'},Alfaisal University | KLD
Building AI Applications with Watson APIs,Data Science > Machine Learning,"20,275 already enrolled",Taught in English,4.3,Intermediate level,20 hours (approximately),Describe the technologies involved in the creation of AI applications.Utilize Watson APIs to create useful chatbots.Deploy chatbots to various channels such as Facebook and Slack.Leverages Watson speech APIs to give your chatbot a voice.,"Python Programming, Machine Learning, Artifical Intelligence, Watson AI, Chatbot","4.6  {'Tanmay Bakshi', 'Antonio Cangiano'}",IBM
Building AI Powered Chatbots Without Programming,Computer Science > Design and Product,"59,189 already enrolled",Taught in English,4.8,Beginner level,12 hours (approximately),"Describe the benefits of chatbots and their usefulness in tasks such as customer support.Create a useful chatbot without writing any code using Watson Assistant.Specify behaviour and tone to improve your chatbot and make it user-friendly.Develop, test and deploy a chatbot to a WordPress website and interact with it.",,4.7  {'Antonio Cangiano'},IBM
Building and Pitching Marketing Campaigns in Tech Industries,Business > Marketing,,Taught in English,,Beginner level,21 hours (approximately),Learn about the ongoing marketing campaign support and rebalancing needs.Learn the practices of revenue forecasting.Learn proven approaches to pitching innovation to executives.Learn how to create and employ an artistic representation of your company.,"Forecasting, Executive Summaries, Public Relations and Sponsorships, Supply Chain, Branding",None {'John Svoboda '},University of Colorado Boulder
Building Applications with Eventarc on Google Cloud,Information Technology > Cloud Computing,,Taught in English,,Beginner level,Approx. 5 hours to complete,Describe the strengths and use cases of Eventarc.Identify the event providers and destinations supported by Eventarc.Describe the methods used to secure Eventarc.Create an event receiver service by using the CloudEvents SDK.,,None {'Google Cloud Training'},Google Cloud
"Uncommon Sense Teaching: Part 2, Building Community and Habits of Learning",Social Sciences > Education,"5,169 already enrolled",Taught in English,4.9,Intermediate level,13 hours (approximately),None,"strategies in teaching, Lesson Plan, social emotional, neurodiversity","4.9  {'Barbara Oakley', 'Dr. Terrence Sejnowski', 'Beth Rogowsky'}",Deep Teaching Solutions
Building Culture in a Scale Up,Business > Entrepreneurship,,Taught in English,,Beginner level,9 hours (approximately),Explain the importance of culture in the company at all stages focusing on the scaleup phaseDiscuss different strategies used to ensure diversity in organizations and build effective teamsExplain the role and frameworks needed to establish corporate governance and advisory boards at the scaleup stage,"Strategic Management, strategy, Business Strategy, Entrepreneurship, Leadership And Management","None {'Joe Haslam', 'Coursera QA Team'}",IE Business School
